"(' ', ' ')","('Return', 'SPDR® FactSet Innovative Technology ETF')","('Return', 'Russell 1000 - Total Return')","('Cumulative_Portfolio', '')","('Cumulative_Benchmark', '')"
20161231,-0.0317674268672549,0.0187868602243375,-0.0317674268672549,0.0187868602243375
20170131,0.046788408034338105,0.020108617756535302,0.015020981167083204,0.0388954779808728
20170228,0.023202655607528003,0.0387080263777175,0.03822363677461121,0.0776035043585903
20170331,0.021352576437417402,0.000631764835835158,0.059576213212028606,0.07823526919442546
20170430,0.0419272281466683,0.0105723515144536,0.1015034413586969,0.08880762070887906
20170531,0.04582657406113191,0.0127622834748682,0.14733001541982882,0.10156990418374726
20170630,0.00362685774317684,0.00698223616822369,0.15095687316300566,0.10855214035197094
20170731,0.04165790731478421,0.0198035455757981,0.19261478047778985,0.12835568592776905
20170831,0.0317492823341134,0.0031280622866964904,0.22436406281190324,0.13148374821446554
20170930,0.0326936795063226,0.0212951588764525,0.25705774231822587,0.15277890709091804
20171031,0.0280507776875965,0.022935891507679197,0.2851085200058224,0.17571479859859723
20171130,0.00576929997402065,0.0304960818628432,0.290877819979843,0.20621088046144043
20171231,-0.0126339163890955,0.0111480651402427,0.2782439035907475,0.21735894560168312
20180131,0.0818437739827827,0.054893206445567604,0.3600876775735302,0.27225215204725073
20180228,0.030054661106873,-0.036713360909441196,0.3901423386804032,0.23553879113780954
20180331,0.00691954548587992,-0.0226976707160628,0.39706188416628313,0.21284112042174674
20180430,0.00137156748673894,0.00339878626619239,0.3984334516530221,0.21623990668793913
20180531,0.0946839261527737,0.0255261047766617,0.4931173778057958,0.24176601146460083
20180630,-0.00398269098866344,0.0064666333323588595,0.48913468681713235,0.2482326447969597
20180731,-0.0150891465624088,0.034511448540265305,0.47404554025472356,0.282744093337225
20180831,0.120414781475535,0.0344573652795941,0.5944603217302585,0.3172014586168191
20180930,-0.0152836543881159,0.00379724602701792,0.5791766673421427,0.320998704643837
20181031,-0.132013160092835,-0.0707633304193975,0.44716350724930765,0.25023537422443953
20181130,0.0190519171454795,0.0203506323546396,0.46621542439478714,0.2705860065790791
20181231,-0.0796366964494243,-0.0910769656833749,0.38657872794536285,0.1795090408957042
20190131,0.150255535261347,0.0838032766674144,0.5368342632067098,0.2633123175631186
20190228,0.0781343223180919,0.0338584763582717,0.6149685855248017,0.29717079392139034
20190331,0.0154430150418006,0.0174095254081603,0.6304116005666023,0.31458031932955066
20190430,0.045567540488592,0.0403841045407318,0.6759791410551943,0.3549644238702825
20190531,-0.0854486138109855,-0.0637242310515183,0.5905305272442088,0.2912401928187642
20190630,0.0580398722720925,0.0702041178854327,0.6485703995163014,0.36144431070419686
20190731,0.0232752805529852,0.0155298679874345,0.6718456800692866,0.37697417869163136
20190831,-0.034966069964990895,-0.018315522559806202,0.6368796101042957,0.3586586561318251
20190930,-0.0434379076246116,0.0173334722931251,0.5934417024796841,0.3759921284249502
20191031,0.056721804116359104,0.0211934936996643,0.6501635065960432,0.3971856221246145
20191130,0.0752158358341106,0.0377914826407522,0.7253793424301538,0.4349771047653667
